type_of_room,account_number,capacity_of_persons,ability_to_publish_information,district,community,city,street,building_number
Найпростіше укриття,null,320,так,Львівський,Львівська,Львів,Кульпарківська,128А
Найпростіше укриття,null,1280,так,Львівський,Львівська,Рудне,Огієнка,9
Найпростіше укриття,null,966,так,Львівський,Львівська,Львів,Садова,13
Найпростіше укриття,null,380,так,Львівський,Львівська,Львів,Дозвільна,3
Найпростіше укриття,null,217,так,Львівський,Львівська,Львів,Каховська,37А
Найпростіше укриття,null,773,так,Львівський,Львівська,Львів,Сяйво,18
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Китайська,14
Найпростіше укриття,null,558,так,Львівський,Львівська,Львів,Садова,25А
Найпростіше укриття,null,480,так,Львівський,Львівська,Львів,Кульпарківська,130
Найпростіше укриття,null,430,так,Львівський,Львівська,Львів,САДОВА,27
Найпростіше укриття,null,801,так,Львівський,Львівська,Львів,Кульпарківська,130А
Найпростіше укриття,null,581,так,Львівський,Львівська,Львів,Сяйво,99
Найпростіше укриття,null,443,так,Львівський,Львівська,Львів,Кульпаківська,156
Найпростіше укриття,null,570,так,Львівський,Львівська,Львів,Садова,27А
Найпростіше укриття,null,1000,так,Львівський,Львівська,Львів,Садова,29
Найпростіше укриття,null,1499,так,Львівський,Львівська,Львів,Роксоляни,35
Найпростіше укриття,null,443,так,Львівський,Львівська,Львів,Кульпарківська,154
Найпростіше укриття,null,23,так,Львівський,Львівська,Львів,Погулянка,20
Найпростіше укриття,null,49,так,Львівський,Львівська,Львів,Івана Боберського,4
Найпростіше укриття,null,878,так,Львівський,Львівська,Львів,Петра Полтави,32
Найпростіше укриття,null,19,так,Львівський,Львівська,Львів,Погулянка,22
Найпростіше укриття,null,402,так,Львівський,Львівська,Львів,Морозенка,5
Найпростіше укриття,null,33,так,Львівський,Львівська,Львів,Погулянка,41
Найпростіше укриття,null,49,так,Львівський,Львівська,Львів,Івана Боберського,19
Найпростіше укриття,null,1035,так,Львівський,Львівська,Львів,Любінська,93Б
Найпростіше укриття,null,280,так,Львівський,Львівська,Львів,Кульпаківська,142
Найпростіше укриття,null,1318,так,Львівський,Львівська,Львів,Кульчицької,18
Найпростіше укриття,null,378,так,Львівський,Львівська,Львів,Кульпаківська,140
Найпростіше укриття,null,64,так,Львівський,Львівська,Львів,Морозенка,8
Найпростіше укриття,null,1006,так,Львівський,Львівська,Львів,Патона,7
Найпростіше укриття,null,132,так,Львівський,Львівська,Львів,Гушалевича,5
Найпростіше укриття,null,195,так,Львівський,Львівська,Львів,Івана Богуна,12
Найпростіше укриття,null,83,так,Львівський,Львівська,Львів,Морозенка,24
Найпростіше укриття,null,42,так,Львівський,Львівська,Львів,Морозенка,10
Найпростіше укриття,null,112,так,Львівський,Львівська,Львів,Низинна,29
Найпростіше укриття,null,180,так,Львівський,Львівська,Львів,Сахарова,50
Найпростіше укриття,null,242,так,Львівський,Львівська,Львів,Виговського,43А
Найпростіше укриття,null,247,так,Львівський,Львівська,Львів,Івана Богуна,15
Найпростіше укриття,null,322,так,Львівський,Львівська,Львів,Виговського,75
Найпростіше укриття,null,200,так,Львівський,Львівська,Дубляни,Тараса Шевченка,22
Найпростіше укриття,null,117,так,Львівський,Львівська,Львів,Садова,20
Найпростіше укриття,null,900,так,Львівський,Львівська,Львів,Мундяк,4
Найпростіше укриття,null,280,так,Львівський,Львівська,Дубляни,Тараса Шевченка,23
Найпростіше укриття,null,235,так,Львівський,Львівська,Львів,Генерала Чупринки,11А
Найпростіше укриття,null,320,так,Львівський,Львівська,Дубляни,Тараса Шевченка,23А
Найпростіше укриття,null,300,так,Львівський,Львівська,Дубляни,Тараса Шевченка,25
Найпростіше укриття,null,105,так,Львівський,Львівська,Львів,Генерала Чупринки,31
Найпростіше укриття,null,320,так,Львівський,Львівська,Дубляни,Тараса Шевченка,29
Найпростіше укриття,null,950,так,Львівський,Львівська,Львів,Мундяк,8
Найпростіше укриття,null,95,так,Львівський,Львівська,Львів,Симона Петлюри,19
Найпростіше укриття,null,300,так,Львівський,Львівська,Дубляни,Тараса Шевченка,33
Найпростіше укриття,null,200,так,Львівський,Львівська,Малехів,Вокзальна,9
Найпростіше укриття,null,95,так,Львівський,Львівська,Львів,Каховська,10
Найпростіше укриття,null,250,так,Львівський,Львівська,Брюховичі,Дитяча,8
Найпростіше укриття,null,105,так,Львівський,Львівська,Львів,Генерала Чупринки,47
Найпростіше укриття,null,316,так,Львівський,Львівська,Львів,Ряшівська,25
Найпростіше укриття,null,100,так,Львівський,Львівська,Брюховичі,Антона Макаренка,4
Найпростіше укриття,null,100,так,Львівський,Львівська,Львів,Генерала Чупринки,59
Найпростіше укриття,null,20,так,Львівський,Львівська,Брюховичі,Антона Макаренка,11
Найпростіше укриття,null,200,так,Львівський,Львівська,Гряда,Тараса Шевченка,36
Найпростіше укриття,null,139,так,Львівський,Львівська,Львів,Горбачевського,4
Найпростіше укриття,null,400,так,Львівський,Львівська,Львів,Роксоляни,27
Найпростіше укриття,null,200,так,Львівський,Львівська,Гряда,Тараса Шевченка,30
Найпростіше укриття,null,350,так,Львівський,Львівська,Львів,Низинна,17
Найпростіше укриття,null,42,так,Львівський,Львівська,Львів,Богдана Лепкого,14
Найпростіше укриття,null,185,так,Львівський,Львівська,Львів,Горбачевського,15
Найпростіше укриття,null,223,так,Львівський,Львівська,Львів,Кульчицької,10А
Найпростіше укриття,null,14,так,Львівський,Львівська,Львів,Богдана Лепкого,15
Найпростіше укриття,null,450,так,Львівський,Львівська,Львів,Низинна,19
Найпростіше укриття,null,330,так,Львівський,Львівська,Львів,Кульпарківська,182
Найпростіше укриття,null,36,так,Львівський,Львівська,Львів,Богдана Лепкого,20
Найпростіше укриття,null,200,так,Львівський,Львівська,Львів,Княгині Ольги,16
Найпростіше укриття,null,30,так,Львівський,Львівська,Львів,Професора Івана Ковалика,1
Найпростіше укриття,null,14,так,Львівський,Львівська,Львів,Богдана Лепкого,3
Найпростіше укриття,null,100,так,Львівський,Львівська,Львів,Кастелівка,10
Найпростіше укриття,null,340,так,Львівський,Львівська,Львів,Кушевича,1
Найпростіше укриття,null,1076,так,Львівський,Львівська,Львів,Грушевського,56
Найпростіше укриття,null,14,так,Львівський,Львівська,Львів,Богдана Лепкого,5
Найпростіше укриття,null,89,так,Львівський,Львівська,Львів,Замарстинівська,219
Найпростіше укриття,null,39,так,Львівський,Львівська,Львів,Богдана Лепкого,6
Найпростіше укриття,null,100,так,Львівський,Львівська,Львів,Низинна,27
Найпростіше укриття,null,30,так,Львівський,Львівська,Львів,Жовківська,8
Найпростіше укриття,null,100,так,Львівський,Львівська,Львів,Кастелівка,16
Найпростіше укриття,null,152,так,Львівський,Львівська,Львів,Княгині Ольги,26
Найпростіше укриття,null,200,так,Львівський,Львівська,Львів,Тараса Шевченка,311А
Найпростіше укриття,null,480,так,Золочівський,Бродівська,Суховоля,Центральний,1
Найпростіше укриття,null,420,так,Львівський,Львівська,Львів,Низинна,52
Найпростіше укриття,null,600,так,Львівський,Львівська,Брюховичі,Широка,6
Найпростіше укриття,null,45,так,Львівський,Львівська,Львів,Беринди,1
Найпростіше укриття,null,250,так,Львівський,Львівська,Львів,Княгині Ольги,34А
Найпростіше укриття,null,46,так,Львівський,Львівська,Львів,Проста,21
Найпростіше укриття,null,400,так,Львівський,Львівська,Львів,Городоцька,319А
Найпростіше укриття,null,300,так,Львівський,Львівська,Львів,Золота,15А
Найпростіше укриття,null,136,так,Львівський,Львівська,Львів,Котляревського,9
Найпростіше укриття,null,25,так,Львівський,Львівська,Львів,Братів Рогатинців,3
Найпростіше укриття,null,200,так,Львівський,Львівська,Львів,Низинна,60
Найпростіше укриття,null,184,так,Львівський,Львівська,Львів,Княгині Ольги,34Б
Найпростіше укриття,null,310,так,Львівський,Львівська,Львів,Інструментальна,45
Найпростіше укриття,null,105,так,Львівський,Львівська,Львів,Котляревського,14
Найпростіше укриття,null,41,так,Львівський,Львівська,Львів,Братів Рогатинців,4
Найпростіше укриття,null,1000,так,Львівський,Львівська,Львів,В'ячеслава Липинського,28
Найпростіше укриття,null,21,так,Львівський,Львівська,Львів,Братів Рогатинців,7
Найпростіше укриття,null,900,так,Львівський,Львівська,Львів,Авраама Лінкольна,6Б
Найпростіше укриття,null,139,так,Львівський,Львівська,Львів,Повстанська,5
Найпростіше укриття,null,65,так,Львівський,Львівська,Львів,Котляревського,23
Найпростіше укриття,null,1200,так,Львівський,Львівська,Львів,Гетьмана Івана Мазепи,2Б
Найпростіше укриття,null,41,так,Львівський,Львівська,Львів,Гіпсова,32А
Найпростіше укриття,null,21,так,Львівський,Львівська,Львів,Валова,4
Найпростіше укриття,null,143,так,Львівський,Львівська,Львів,Одеська,10
Найпростіше укриття,null,65,так,Львівський,Львівська,Львів,Повстанська,6
Найпростіше укриття,null,18,так,Львівський,Львівська,Львів,Звіринського,12
Найпростіше укриття,null,181,так,Львівський,Львівська,Львів,Одеська,12
Найпростіше укриття,null,48,так,Львівський,Львівська,Львів,Рудницького,22
Найпростіше укриття,null,450,так,Львівський,Львівська,Львів,Малоголосківська,16
Найпростіше укриття,null,144,так,Львівський,Львівська,Львів,Одеська,14
Найпростіше укриття,null,500,так,Львівський,Львівська,Львів,Малоголосківська,30
Найпростіше укриття,null,55,так,Львівський,Львівська,Львів,Звіринського,15
Найпростіше укриття,null,65,так,Львівський,Львівська,Львів,Рудницького,33
Найпростіше укриття,null,64,так,Львівський,Львівська,Львів,Корсунська,4
Найпростіше укриття,null,450,так,Львівський,Львівська,Львів,Малоголосківська,32
Найпростіше укриття,null,24,так,Львівський,Львівська,Львів,Війтовича,12
Найпростіше укриття,null,450,так,Львівський,Львівська,Львів,Малоголосківська,32А
Найпростіше укриття,null,100,так,Львівський,Львівська,Львів,Рудницького,39
Найпростіше укриття,null,35,так,Львівський,Львівська,Львів,Котляревського,31
Найпростіше укриття,null,43,так,Львівський,Львівська,Львів,Гіпсова,40Б
Найпростіше укриття,null,460,так,Львівський,Львівська,Львів,Малоголосківська,32Г
Найпростіше укриття,null,40,так,Львівський,Львівська,Львів,Війтовича,14
Найпростіше укриття,null,92,так,Львівський,Львівська,Львів,Кооперативна,4
Найпростіше укриття,null,141,так,Львівський,Львівська,Львів,Рудницького,70
Найпростіше укриття,null,600,так,Львівський,Львівська,Львів,Малоголосківська,42
Найпростіше укриття,null,129,так,Львівський,Львівська,Львів,Одеська,16
Найпростіше укриття,null,40,так,Львівський,Львівська,Львів,Гіпсова,62
Найпростіше укриття,null,14,так,Львівський,Львівська,Львів,Війтовича,16
Найпростіше укриття,null,65,так,Львівський,Львівська,Львів,Котляревського,40
Найпростіше укриття,null,230,так,Львівський,Львівська,Львів,На Нивах,13А
Найпростіше укриття,null,43,так,Львівський,Львівська,Львів,Гіпсова,64
Найпростіше укриття,null,70,так,Львівський,Львівська,Львів,Генерала Чупринки,128
Найпростіше укриття,null,300,так,Львівський,Львівська,Львів,На Нивах,15
Найпростіше укриття,null,350,так,Львівський,Львівська,Львів,Котляревського,57/61
Найпростіше укриття,null,97,так,Львівський,Львівська,Львів,Ясна,4
Найпростіше укриття,null,278,так,Львівський,Львівська,Львів,Одеська,18
Найпростіше укриття,null,36,так,Львівський,Львівська,Львів,Глибока,10
Найпростіше укриття,null,1000,так,Львівський,Львівська,Львів,Під Голоском,4Б
Найпростіше укриття,null,85,так,Львівський,Львівська,Львів,Метрологічна,3
Найпростіше укриття,null,1000,так,Львівський,Львівська,Львів,Під Голоском,4В
Найпростіше укриття,null,64,так,Львівський,Львівська,Львів,Ясна,32
Найпростіше укриття,null,170,так,Львівський,Львівська,Львів,Моршинська,2
Найпростіше укриття,null,800,так,Львівський,Львівська,Львів,Під Голоском,8
Найпростіше укриття,null,55,так,Львівський,Львівська,Львів,Цегельського,3
Найпростіше укриття,null,52,так,Львівський,Львівська,Львів,Ясна,31
Найпростіше укриття,null,75,так,Львівський,Львівська,Львів,Політехнічна,4
Найпростіше укриття,null,700,так,Львівський,Львівська,Львів,Під Голоском,24
Найпростіше укриття,null,250,так,Львівський,Львівська,Львів,Моршинська,3
Найпростіше укриття,null,30,так,Львівський,Львівська,Львів,Глибока,20
Найпростіше укриття,null,46,так,Львівський,Львівська,Львів,Ясна,3
Найпростіше укриття,null,800,так,Львівський,Львівська,Львів,Під Голоском,24В
Найпростіше укриття,null,102,так,Львівський,Львівська,Львів,Цегельського,9
Найпростіше укриття,null,95,так,Львівський,Львівська,Львів,Політехнічна,12
Найпростіше укриття,null,16,так,Львівський,Львівська,Львів,Війтовича,5
Найпростіше укриття,null,10,так,Львівський,Львівська,Львів,Війтовича,6
Найпростіше укриття,null,600,так,Львівський,Львівська,Львів,В'ячеслава Чорновола,67Б
Найпростіше укриття,null,90,так,Львівський,Львівська,Львів,Ясна,29
Найпростіше укриття,null,27,так,Львівський,Львівська,Львів,Глибока,4
Найпростіше укриття,null,65,так,Львівський,Львівська,Львів,Одеська,21
Найпростіше укриття,null,250,так,Львівський,Львівська,Львів,Цегельського,10
Найпростіше укриття,null,450,так,Львівський,Львівська,Львів,Струмок,9
Найпростіше укриття,null,95,так,Львівський,Львівська,Львів,Природна,6
Найпростіше укриття,null,155,так,Львівський,Львівська,Львів,Моршинська,11
Найпростіше укриття,null,64,так,Львівський,Львівська,Львів,Ясна,11А
Найпростіше укриття,null,23,так,Львівський,Львівська,Львів,Глибока,6
Найпростіше укриття,null,400,так,Львівський,Львівська,Львів,Тараса Шевченка,134А
Найпростіше укриття,null,46,так,Львівський,Львівська,Львів,Гнатюка,20/22
Найпростіше укриття,null,72,так,Львівський,Львівська,Львів,Ясна,10
Найпростіше укриття,null,184,так,Львівський,Львівська,Львів,Тадеуша Бой-Желінського,10
Найпростіше укриття,null,85,так,Львівський,Львівська,Львів,Романицького,6
Найпростіше укриття,null,34,так,Львівський,Львівська,Львів,Глибока,8
Найпростіше укриття,null,600,так,Львівський,Львівська,Львів,Тараса Шевченка,38
Найпростіше укриття,null,65,так,Львівський,Львівська,Львів,Гнатюка,3
Найпростіше укриття,null,59,так,Львівський,Львівська,Львів,Одеська,27
Найпростіше укриття,null,89,так,Львівський,Львівська,Львів,Ярослава Мудрого,9А
Найпростіше укриття,null,80,так,Львівський,Львівська,Львів,Романицького,14
Найпростіше укриття,null,800,так,Львівський,Львівська,Львів,Тараса Шевченка,60
Найпростіше укриття,null,15,так,Львівський,Львівська,Львів,Гнатюка,4
Найпростіше укриття,null,50,так,Львівський,Львівська,Львів,Городоцька,173
Найпростіше укриття,null,115,так,Львівський,Львівська,Львів,Героїв Майдану,6
Найпростіше укриття,null,153,так,Львівський,Львівська,Львів,Ярослава Мудрого,9
Найпростіше укриття,null,310,так,Львівський,Львівська,Львів,Природна,3
Найпростіше укриття,null,80,так,Львівський,Львівська,Львів,Романицького,16А
Найпростіше укриття,null,230,так,Львівський,Львівська,Львів,Тараса Шевченка,80
Найпростіше укриття,null,60,так,Львівський,Львівська,Львів,Ярослава Мудрого,3
Найпростіше укриття,null,37,так,Львівський,Львівська,Львів,Городоцька,131
Найпростіше укриття,null,230,так,Львівський,Львівська,Львів,Щепова,5А
Найпростіше укриття,null,97,так,Львівський,Львівська,Львів,Ярослава Мудрого,29
Найпростіше укриття,null,30,так,Львівський,Львівська,Львів,Похила,2
Найпростіше укриття,null,230,так,Львівський,Львівська,Львів,Михайла Яцкова,13
Найпростіше укриття,null,44,так,Львівський,Львівська,Львів,Городоцька,165
Найпростіше укриття,null,157,так,Львівський,Львівська,Львів,Ярослава Мудрого,27
Найпростіше укриття,null,40,так,Львівський,Львівська,Львів,Остроградських,2
Найпростіше укриття,null,52,так,Львівський,Львівська,Львів,Одеська,35
Найпростіше укриття,null,140,так,Львівський,Львівська,Львів,Михайла Яцкова,20Б
Найпростіше укриття,null,115,так,Львівський,Львівська,Львів,Городоцька,167
Найпростіше укриття,null,100,так,Львівський,Львівська,Львів,Нечуя-Левицького,7
Найпростіше укриття,null,152,так,Львівський,Львівська,Львів,Ярослава Мудрого,21
Найпростіше укриття,null,70,так,Львівський,Львівська,Львів,Нечуя Левицького,13
Найпростіше укриття,null,130,так,Львівський,Львівська,Львів,Богдана Хмельницького - Луки Долинського,ПІДЗЕМНИЙ ПЕРЕХІД
Найпростіше укриття,null,80,так,Львівський,Львівська,Львів,Левицького,15
Найпростіше укриття,null,250,так,Львівський,Львівська,Львів,Грінченка - Богдана Хмельницького,ПІДЗЕМНИЙ ПЕРЕХІД
Найпростіше укриття,null,235,так,Львівський,Львівська,Львів,Слов'янська,4
Найпростіше укриття,null,76,так,Львівський,Львівська,Львів,Одеська,4
Найпростіше укриття,null,128,так,Львівський,Львівська,Львів,Конотопська,2
Найпростіше укриття,null,150,так,Львівський,Львівська,Львів,Івана Біберовича,13А
Найпростіше укриття,null,207,так,Львівський,Львівська,Львів,Конотопська,4
Найпростіше укриття,null,218,так,Львівський,Львівська,Львів,Лазаренка,9
Найпростіше укриття,null,300,так,Львівський,Львівська,Львів,Івана Величковського,14
Найпростіше укриття,null,80,так,Львівський,Львівська,Львів,Генерала Чупринки,16
Найпростіше укриття,null,260,так,Львівський,Львівська,Львів,Івана Величковського,22
Найпростіше укриття,null,25,так,Львівський,Львівська,Львів,Городоцька,177
Найпростіше укриття,null,104,так,Львівський,Львівська,Львів,Одеська,6
Найпростіше укриття,null,117,так,Львівський,Львівська,Львів,Генерала Чупринки,22
Найпростіше укриття,null,260,так,Львівський,Львівська,Львів,Івана Величковського,30
Найпростіше укриття,null,162,так,Львівський,Львівська,Львів,Остроградських,8
Найпростіше укриття,null,260,так,Львівський,Львівська,Львів,Івана Величковського,40
Найпростіше укриття,null,112,так,Львівський,Львівська,Львів,Генерала Чупринки,24
Найпростіше укриття,null,200,так,Львівський,Львівська,Львів,Сахарова,56
Найпростіше укриття,null,89,так,Львівський,Львівська,Львів,Городоцька,171
Найпростіше укриття,null,450,так,Львівський,Львівська,Львів,Івана Величковського,42
Найпростіше укриття,null,116,так,Львівський,Львівська,Львів,Генерала Чупринки,30
Найпростіше укриття,null,175,так,Львівський,Львівська,Львів,Лазаренка,48А
Найпростіше укриття,null,143,так,Львівський,Львівська,Львів,Генерала Чупринки,38
Найпростіше укриття,null,300,так,Львівський,Львівська,Львів,Івана Величковського,56
Найпростіше укриття,null,397,так,Львівський,Львівська,Львів,Сахарова,60
Найпростіше укриття,null,70,так,Львівський,Львівська,Львів,Євгена Чикаленка,31
Найпростіше укриття,null,35,так,Львівський,Львівська,Львів,Грюнвальдська,3
Найпростіше укриття,null,75,так,Львівський,Львівська,Львів,Околична ,10
Найпростіше укриття,null,143,так,Львівський,Львівська,Львів,Одеська,7
Найпростіше укриття,null,32,так,Львівський,Львівська,Львів,Грюнвальдська,12
Найпростіше укриття,null,500,так,Львівський,Львівська,Львів,Тараса Шевченка,318
Найпростіше укриття,null,200,так,Львівський,Львівська,Львів,Озерна,39А
Найпростіше укриття,null,110,так,Львівський,Львівська,Львів,Володимира Великого,22
Найпростіше укриття,null,500,так,Львівський,Львівська,Львів,Тараса Шевченка,334
Найпростіше укриття,null,40,так,Львівський,Львівська,Львів,Грюнвальдська,9
Найпростіше укриття,null,550,так,Львівський,Львівська,Львів,Тараса Шевченка,340
Найпростіше укриття,null,20,так,Львівський,Львівська,Львів,Стрийська,56
Найпростіше укриття,null,500,так,Львівський,Львівська,Львів,Тараса Шевченка,342
Найпростіше укриття,null,31,так,Львівський,Львівська,Львів,Грюндвальдська,10
Найпростіше укриття,null,351,так,Львівський,Львівська,Львів,Білинського,23
Найпростіше укриття,null,430,так,Львівський,Львівська,Львів,Тараса Шевченка,352
