type_of_room,account_number,capacity_of_persons,ability_to_publish_information,district,community,city,street,building_number,latitude,longitude
Найпростіше укриття,,27,так,Львівський,Львівська,Львів,Івана Франка,44,49.8326681,24.03349182616014
Найпростіше укриття,,28,так,Львівський,Львівська,Львів,Марка Вовчка,24,49.84086345,24.00672450231808
Найпростіше укриття,,317,так,Львівський,Зимноводівська,Зимна Вода,Івана Сірка,75,,
Найпростіше укриття,,33,так,Львівський,Львівська,Львів,Гнатюка,12,49.8417707,24.02536630128163
Найпростіше укриття,,160,так,Львівський,Львівська,Львів,Олени Степанівни ,24,49.842763000000005,24.003086863083944
Найпростіше укриття,,38,так,Львівський,Львівська,Львів,Івана Франка,46,49.832499,24.033526410549133
Найпростіше укриття,,182,так,Львівський,Львівська,Львів,Марка Вовчка,26,49.841194,24.00663676526375
Найпростіше укриття,,2984,так,Львівський,Зимноводівська,Скнилів,Окружна,38,,
Найпростіше укриття,,16,так,Львівський,Львівська,Львів,Івана Франка,48,49.83255015,24.033308199999993
Найпростіше укриття,,25,так,Львівський,Львівська,Львів,Кирила і Мефодія,26,49.8307397,24.028881988791476
Найпростіше укриття,,26,так,Львівський,Львівська,Львів,Кирила і Мефодія,27,49.8313407,24.030087714584305
Найпростіше укриття,,108,так,Львівський,Львівська,Львів,Олени Степанівни ,24А,49.84276975,24.002888355790926
Найпростіше укриття,,35,так,Львівський,Львівська,Львів,Івана Франка,50,49.832338899999996,24.03311465116253
Найпростіше укриття,,32,так,Львівський,Львівська,Львів,Марка Вовчка,28,49.84139465,24.006552254626094
Найпростіше укриття,,31,так,Львівський,Львівська,Львів,Кирила і Мефодія,28,49.83061895,24.028722690712918
Найпростіше укриття,,100,так,Львівський,Львівська,Львів,Марка Вовчка,3,49.839515500000005,24.007240965077763
Найпростіше укриття,,35,так,Львівський,Львівська,Львів,Кирила і Мефодія,3,49.8335249,24.03258972644767
Найпростіше укриття,,67,так,Львівський,Львівська,Львів,Кирила і Мефодія,33,49.83066875,24.029375966841343
Найпростіше укриття,,24,так,Львівський,Львівська,Львів,Кирила і Мефодія,35,49.83065715,24.029235892635658
Найпростіше укриття,,20,так,Львівський,Львівська,Львів,Кирила і Мефодія,37,49.830495850000005,24.02917005275384
Найпростіше укриття,,861,так,Львівський,Зимноводівська,Лапаївка,Геофізиків,23А,,
Найпростіше укриття,,144,так,Львівський,Львівська,Львів,Марка Вовчка ,30 ,49.841531599999996,24.006633698266008
Найпростіше укриття,,41,так,Львівський,Львівська,Львів,Миколи Садовського,10,49.841780549999996,24.04780189838098
Найпростіше укриття,,285,так,Львівський,Львівська,Львів,Марка Вовчка ,31,49.84097774999999,24.00618105911949
Найпростіше укриття,,1230,так,Львівський,Львівська,Львів,Олени Кульчицької,10,49.81679785,23.974826288846153
Найпростіше укриття,,1558,так,Львівський,Зимноводівська,Зимна Вода,Крипякевича ,15,,
Найпростіше укриття,,49,так,Львівський,Львівська,Львів,Антоненка Давидовича,9,49.7920656,24.06253472314075
Найпростіше укриття,,909,так,Львівський,Львівська,Львів,Кульчицької,11,49.818359718672184,23.976431678384046
Найпростіше укриття,,15,так,Львівський,Львівська,Львів,Кирила і Мефодія,5,49.833504899999994,24.03245496414369
Найпростіше укриття,,966,так,Львівський,Зимноводівська,Зимна Вода,Мазепи,2,,
Найпростіше укриття,,49,так,Львівський,Львівська,Львів,Антоненка Давидовича,8А,49.7918216,24.064248868901878
Найпростіше укриття,,716,так,Львівський,Львівська,Львів,Кульчицької,12,49.81765325,23.976293939943286
Найпростіше укриття,,35,так,Львівський,Львівська,Львів,Кирила і Мефодія,25,49.8316078,24.030335024260744
Найпростіше укриття,,30,так,Львівський,Львівська,Львів,Миколи Садовського,2,49.841311950000005,24.048013898946383
Найпростіше укриття,,21,так,Львівський,Львівська,Львів,Героїв Маріуполя,10,49.8378209,24.062311649999998
Найпростіше укриття,,146,так,Львівський,Львівська,Львів,Марка Вовчка ,32,49.84167105,24.006494169710194
Найпростіше укриття,,50,так,Львівський,Львівська,Львів,Родини Крушельницьких,1А,49.82827505,24.048039959341025
Найпростіше укриття,,78,так,Львівський,Львівська,Львів,Марка Вовчка ,34,49.84183495,24.006458327980614
Найпростіше укриття,,347,так,Львівський,Львівська,Львів,Кульчицької,14,49.81725215,23.97787982308743
Найпростіше укриття,,41,так,Львівський,Львівська,Львів,Миколи Садовського,3,49.84132165,24.047631784256005
Найпростіше укриття,,24,так,Львівський,Львівська,Львів,Князя Романа,2,49.838970950000004,24.0320144230784
Найпростіше укриття,,49,так,Львівський,Львівська,Львів,Антоненка Давидовича,7,49.792530299999996,24.061719000643215
Найпростіше укриття,,923,так,Львівський,Львівська,Львів,Кульчицької,15,49.818359718672184,23.976431678384046
Найпростіше укриття,,600,так,Львівський,Кам’янка-Бузька,Кам’янка-Бузька,Шопена,5,,
Найпростіше укриття,,50,так,Львівський,Львівська,Львів,Родини Крушельницьких,3,49.82800915,24.048532942032622
Найпростіше укриття,,25,так,Львівський,Львівська,Львів,Миколи Садовського,4,49.841422550000004,24.0479276109879
Найпростіше укриття,,203,так,Львівський,Львівська,Львів,Марка Вовчка ,35,49.841340200000005,24.006135539444486
Найпростіше укриття,,22,так,Львівський,Львівська,Львів,Героїв Маріуполя,11А,49.83814235,24.062018449999997
Найпростіше укриття,,698,так,Львівський,Львівська,Львів,Кульчицької,16А,49.817976200000004,23.977513941802336
Найпростіше укриття,,80,так,Львівський,Львівська,Львів,Князя Романа,26,49.83768285,24.032617720975985
Найпростіше укриття,,49,так,Львівський,Львівська,Львів,Антоненка Давидовича,3,49.79265685,24.06038289926363
Найпростіше укриття,,49,так,Львівський,Кам’янка-Бузька,Кам’янка-Бузька,Незалежності,66,,
Найпростіше укриття,,120,так,Львівський,Львівська,Львів,Марка Вовчка ,36,49.841979800000004,24.0067546112957
Найпростіше укриття,,276,так,Львівський,Львівська,Львів,Кульчицької,16Б,49.8176237,23.977371992880112
Найпростіше укриття,,24,так,Львівський,Львівська,Львів,Миколи Садовського,6,49.84153945,24.04791755851989
Найпростіше укриття,,22,так,Львівський,Львівська,Львів,Героїв Маріуполя,14,49.83805545,24.0625078
Найпростіше укриття,,50,так,Львівський,Львівська,Львів,Родини Крушельницьких,5,49.8277415,24.049281326415468
Найпростіше укриття,,276,так,Львівський,Львівська,Львів,Кульчицької,16В,49.8182726,23.97731101598164
Найпростіше укриття,,43,так,Львівський,Львівська,Львів,Князя Романа,32,49.8371037,24.03312284203406
Найпростіше укриття,,290,так,Львівський,Львівська,Львів,Кульчицької,16Г,49.818359718672184,23.976431678384046
Найпростіше укриття,,121,так,Львівський,Львівська,Львів,Марка Вовчка ,38,49.84214445,24.006382042332717
Найпростіше укриття,,20,так,Львівський,Львівська,Львів,Героїв Маріуполя,18,49.838241,24.06266296063474
Найпростіше укриття,,35,так,Львівський,Львівська,Львів,Миколи Садовського,8,49.841673650000004,24.047815510485265
Найпростіше укриття,,1230,так,Львівський,Львівська,Львів,Кульчицької,3,49.8177984,23.97337314279789
Найпростіше укриття,,94,так,Львівський,Львівська,Львів,Князя Романа,34,49.83679065,24.03317557109294
Найпростіше укриття,,367,так,Львівський,Кам’янка-Бузька,Кам’янка-Бузька,Шевченка,45,,
Найпростіше укриття,,148,так,Львівський,Львівська,Львів,Марка Вовчка ,4,49.839072599999994,24.008133547958472
Найпростіше укриття,,27,так,Львівський,Львівська,Львів,Родини Крушельницьких,22,49.826331100000004,24.04923469812963
Найпростіше укриття,,26,так,Львівський,Львівська,Львів,Касіяна Саковича,1,49.854859000000005,24.053902550000004
Найпростіше укриття,,900,так,Львівський,Львівська,Львів,Кульчицької,4,49.817200650000004,23.973478789153006
Найпростіше укриття,,8,так,Львівський,Львівська,Львів,Героїв Маріуполя,18А,49.83832945,24.062736939810563
Найпростіше укриття,,720,так,Львівський,Львівська,Львів,Кульчицької,6,49.81688335,23.97384094950479
Найпростіше укриття,,182,так,Львівський,Львівська,Львів,Марка Вовчка,40,49.8423897,24.006385919649205
Найпростіше укриття,,52,так,Львівський,Львівська,Львів,Іллі Рєпіна,8,49.839950099999996,24.055337423223524
Найпростіше укриття,,78,так,Львівський,Львівська,Львів,Князя Романа,4,49.83886735,24.032119960330075
Найпростіше укриття,,140,так,Львівський,Львівська,Львів,Марка Вовчка ,41,49.8418083,24.006025964216523
Найпростіше укриття,,49,так,Львівський,Львівська,Львів,Антонича,8,49.78552295,24.06914911808991
Найпростіше укриття,,50,так,Львівський,Львівська,Львів,Севастопольська,3,49.8382509,24.042532704552144
Найпростіше укриття,,30,так,Львівський,Львівська,Львів,Князя Романа,6,49.83869195,24.032153550517574
Найпростіше укриття,,18,так,Львівський,Львівська,Львів,Героїв Маріуполя,3,49.83766145,24.061601856481587
Найпростіше укриття,,24,так,Львівський,Львівська,Львів,Князя Романа,7,49.8369208,24.033880972324162
Найпростіше укриття,,50,так,Львівський,Львівська,Львів,Севастопольська,5,49.83820465,24.042803595462672
Найпростіше укриття,,70,так,Львівський,Львівська,Львів,Левандівська,11А,49.8442795,23.984918999999998
Найпростіше укриття,,50,так,Львівський,Львівська,Львів,Севастопольська,6,49.8379604,24.042742079046832
Найпростіше укриття,,75,так,Львівський,Львівська,Львів,Левандівська,13,49.8444359,23.984397
Найпростіше укриття,,100,так,Львівський,Львівська,Львів,Марка Вовчка ,41А,49.8419231,24.00599874571083
Найпростіше укриття,,50,так,Львівський,Львівська,Львів,Севастопольська,7,49.83816815,24.04308159540626
Найпростіше укриття,,75,так,Львівський,Львівська,Львів,Левандівська,13А,49.84417245,23.984621599999997
Найпростіше укриття,,49,так,Львівський,Львівська,Львів,Антонича,14,49.7846304,24.06954539629534
Найпростіше укриття,,101,так,Львівський,Львівська,Львів,Марка Вовчка ,43,49.84207095,24.005976493286312
Найпростіше укриття,,75,так,Львівський,Львівська,Львів,Левандівська,15,49.84432885,23.984099614346885
Найпростіше укриття,,50,так,Львівський,Львівська,Львів,Севастопольська,8,49.837915699999996,24.042979195891256
Найпростіше укриття,,12,так,Львівський,Львівська,Львів,Іллі Рєпіна,19,49.84091025,24.055442038735304
Найпростіше укриття,,75,так,Львівський,Львівська,Львів,Левандівська,15А,49.844066749999996,23.98432785255698
Найпростіше укриття,,49,так,Львівський,Львівська,Львів,Антонича,16,49.78453895,24.06864451872172
Найпростіше укриття,,90,так,Львівський,Львівська,Львів,сахарова,80,49.820842049999996,24.016724600000007
Найпростіше укриття,,127,так,Львівський,Львівська,Львів,Марка Вовчка,45,49.8422094,24.005943243645113
Найпростіше укриття,,75,так,Львівський,Львівська,Львів,Левандівська,17,49.844223150000005,23.983805849999996
Найпростіше укриття,,18,так,Львівський,Львівська,Львів,Героїв Маріуполя,5,49.8377377,24.061667945312067
Найпростіше укриття,,27,так,Львівський,Львівська,Львів,Кобилянської,16,49.83172435,24.031281426761936
Найпростіше укриття,,49,так,Львівський,Львівська,Львів,Антонича,20,49.784200850000005,24.067757771581203
Найпростіше укриття,,75,так,Львівський,Львівська,Львів,Левандівська,17А,49.84395735,23.984024000000005
Найпростіше укриття,,23,так,Львівський,Кам’янка-Бузька,Зубів Міст,Садова,10,,
Найпростіше укриття,,17,так,Львівський,Львівська,Львів,Кобилянської,18,49.83183805,24.031135195608435
Найпростіше укриття,,75,так,Львівський,Львівська,Львів,Левандівська,19,49.844113750000005,23.98350201434688
Найпростіше укриття,,18,так,Львівський,Львівська,Львів,Героїв Маріуполя,7,49.8378123,24.061732550000002
Найпростіше укриття,,23,так,Львівський,Львівська,Львів,Іллі Рєпіна,6,49.8397985,24.055214300000003
Найпростіше укриття,,25,так,Львівський,Львівська,Львів,Скельна,1,49.83233855,24.034701119633883
Найпростіше укриття,,254,так,Львівський,Львівська,Львів,Магазинова,1,49.8437328,24.01038698871297
Найпростіше укриття,,75,так,Львівський,Львівська,Львів,Левандівська,19А,49.84384675,23.983716700000002
Найпростіше укриття,,24,так,Львівський,Львівська,Львів,Кобилянської,2,49.83114425,24.032437782375965
Найпростіше укриття,,110,так,Львівський,Львівська,Львів,Володимира Великого,41А,49.80800185,24.004537139091017
Найпростіше укриття,,49,так,Львівський,Львівська,Львів,Антонича,20А,49.783806549999994,24.068236939143915
Найпростіше укриття,,35,так,Львівський,Кам’янка-Бузька,Стрептів,Маньковського,6А,,
Найпростіше укриття,,19,так,Львівський,Львівська,Львів,Іллі Рєпіна,15,49.8407206,24.0554259026269
Найпростіше укриття,,75,так,Львівський,Львівська,Львів,Левандівська,21,49.844003150000006,23.98319471434688
Найпростіше укриття,,122,так,Львівський,Львівська,Львів,Магазинова,2,49.8439535,24.0104972139327
Найпростіше укриття,,21,так,Львівський,Львівська,Львів,Григорія Сковороди,10,49.8390711,24.050110228111382
Найпростіше укриття,,75,так,Львівський,Львівська,Львів,Левандівська,23,49.84389865,23.98290423564242
Найпростіше укриття,,49,так,Львівський,Львівська,Львів,Антонича,22,49.7838183,24.069235472469984
Найпростіше укриття,,148,так,Львівський,Львівська,Львів,Магазинова,3,49.843758050000005,24.01012379845909
Найпростіше укриття,,23,так,Львівський,Львівська,Львів,Кобилянської,20,49.8318771,24.03095378741438
Найпростіше укриття,,19,так,Львівський,Львівська,Львів,Григорія Сковороди,11,49.8387439,24.050296297005772
Найпростіше укриття,,10,так,Львівський,Львівська,Львів,Григорія Сковороди,3,49.83908525,24.050931613413137
Найпростіше укриття,,220,так,Львівський,Львівська,Львів,Левандівська,25,49.84272105,23.980374222040325
Найпростіше укриття,,49,так,Львівський,Львівська,Львів,Антонича,24,49.78337085,24.068105730210398
Найпростіше укриття,,125,так,Львівський,Львівська,Львів,Повстанська,12,49.825847949999996,23.999540576202172
Найпростіше укриття,,126,так,Львівський,Львівська,Львів,Магазинова,4,49.843987999999996,24.010205610874404
Найпростіше укриття,,25,так,Львівський,Львівська,Львів,Кобилянської,4,49.831225599999996,24.032327904501322
Найпростіше укриття,,19,так,Львівський,Львівська,Львів,Григорія Сковороди,11А,49.83860965,24.050293212115747
Найпростіше укриття,,150,так,Львівський,Львівська,Львів,Левандівська,9,49.8447297,23.9851373
Найпростіше укриття,,14,так,Львівський,Львівська,Львів,Григорія Сковороди,4,49.839431399999995,24.050249030703803
Найпростіше укриття,,150,так,Львівський,Львівська,Львів,Левандівська,9А,49.8443681,23.98523571857575
Найпростіше укриття,,30,так,Львівський,Львівська,Львів,Кобилянської,6,49.8313752,24.03215488163254
Найпростіше укриття,,49,так,Львівський,Кам’янка-Бузька,Стрептів,1 Грудня,12,,
Найпростіше укриття,,125,так,Львівський,Львівська,Львів,Пулюя,16,49.8031097,23.982764133776662
Найпростіше укриття,,19,так,Львівський,Львівська,Львів,Григорія Сковороди,12,49.838873899999996,24.04999298116674
Найпростіше укриття,,22,так,Львівський,Львівська,Львів,Григорія Сковороди,5,49.83916495,24.050619222801295
Найпростіше укриття,,19,так,Львівський,Львівська,Львів,Григорія Сковороди,14,49.8387881,24.049933180046406
Найпростіше укриття,,178,так,Львівський,Львівська,Львів,Пулюя,16,49.8031097,23.982764133776662
Найпростіше укриття,,743,так,Львівський,Львівська,Львів,Калнишевського,1,49.84537095,23.970045355723006
Найпростіше укриття,,49,так,Львівський,Львівська,Львів,Антонича,26,49.7830869,24.06739424172524
Найпростіше укриття,,34,так,Львівський,Львівська,Львів,Кобилянської,8,49.83142815,24.0319012941032
Найпростіше укриття,,19,так,Львівський,Львівська,Львів,Григорія Сковороди,6,49.8393284,24.050275205501528
Найпростіше укриття,,104,так,Львівський,Львівська,Львів,Луцького,26,49.84640345,23.99751782748538
Найпростіше укриття,,20,так,Львівський,Львівська,Львів,Григорія Сковороди,15,49.8384422,24.050092229608296
Найпростіше укриття,,550,так,Львівський,Львівська,Львів,Калнишевського,16,49.8485407,23.969958877745242
Найпростіше укриття,,918,так,Львівський,Львівська,Львів,Любінська,101,49.8206954,23.9701676
Найпростіше укриття,,21,так,Львівський,Львівська,Львів,Григорія Сковороди,7,49.83901805,24.05046142082754
Найпростіше укриття,,101,так,Львівський,Львівська,Львів,Калнишевського,3,49.8460072,23.97004754383764
Найпростіше укриття,,943,так,Львівський,Львівська,Львів,Любінська,101А,49.8276104,23.9839898
Найпростіше укриття,,19,так,Львівський,Львівська,Львів,Григорія Сковороди,16,49.83866775,24.04985686205757
Найпростіше укриття,,23,так,Львівський,Львівська,Львів,Коцюбинського,10,49.8304078,24.029438646400585
Найпростіше укриття,,37,так,Львівський,Кам’янка-Бузька,Кам’янка-Бузька,Павлова,2,,
Найпростіше укриття,,195,так,Львівський,Львівська,Львів,пулюя,10,49.8036412,23.985843940774124
Найпростіше укриття,,15,так,Львівський,Львівська,Львів,Григорія Сковороди,8,49.83912625,24.050148340615557
Найпростіше укриття,,49,так,Львівський,Львівська,Львів,Антонича,28,49.78249475,24.06699101081515
Найпростіше укриття,,23,так,Львівський,Львівська,Львів,Григорія Сковороди,9,49.83887315,24.050454398169364
Найпростіше укриття,,646,так,Львівський,Львівська,Львів,Кульпарківська,99,49.8155617,23.987596882407402
Найпростіше укриття,,49,так,Львівський,Львівська,Львів,Антонича,30,49.7821605,24.0676689404376
Найпростіше укриття,,666,так,Львівський,Львівська,Львів,Калнишевського,4А,49.8458501,23.97121768663136
Найпростіше укриття,,43,так,Львівський,Львівська,Львів,Коцюбинського,11,49.83047425,24.028168769580887
Найпростіше укриття,,22,так,Львівський,Львівська,Львів,Григорія Сковороди,18,49.838502500000004,24.049726861422144
Найпростіше укриття,,50,так,Львівський,Львівська,Львів,Тракт Глинянський,161В,49.8435315,24.10050872244557
Найпростіше укриття,,94,так,Львівський,Львівська,Львів,Калнишевського,8,49.84656785,23.9704775
Найпростіше укриття,,33,так,Львівський,Львівська,Львів,Коцюбинського,11А,49.8303534,24.027788656246543
Найпростіше укриття,,8,так,Львівський,Львівська,Львів,Йосифа Сліпого,17,49.829531349999996,24.042643299999995
Найпростіше укриття,,800,так,Львівський,Львівська,Львів,Кульпарківська,130Б,49.81789055,23.984655872988412
Найпростіше укриття,,41,так,Львівський,Львівська,Львів,Коцюбинського,15,49.8306417,24.027609790117943
Найпростіше укриття,,22,так,Львівський,Львівська,Львів,Йосифа Сліпого,23,49.82959415,24.040753065872643
Найпростіше укриття,,741,так,Львівський,Львівська,Львів,Порохова,3,49.8278478,23.988420434575147
Найпростіше укриття,,49,так,Львівський,Кам’янка-Бузька,Кам’янка-Бузька,Героїв Небесної Сотні,49,,
Найпростіше укриття,,19,так,Львівський,Львівська,Львів,Йосифа Сліпого,3,49.8305796,24.04296635
Найпростіше укриття,,49,так,Львівський,Львівська,Львів,Бережанська,54,49.8013853,24.048503966620483
Найпростіше укриття,,50,так,Львівський,Львівська,Львів,Тракт Глинянський,141А,49.84192395,24.096786500279013
Найпростіше укриття,,140,так,Львівський,Львівська,Львів,Володимира Великого,125А,49.810500700000006,23.98666108107618
Найпростіше укриття,,70,так,Львівський,Кам’янка-Бузька,Батятичі,Івана Франка,116,,
Найпростіше укриття,,15,так,Львівський,Львівська,Львів,Соколина,4,49.825006349999995,24.079759424921214
Найпростіше укриття,,24,так,Львівський,Львівська,Львів,Коцюбинського,18,49.8307652,24.028347874837316
Найпростіше укриття,,49,так,Львівський,Львівська,Львів,Білоцерківська,1,49.81624895,24.0543610839815
Найпростіше укриття,,23,так,Львівський,Львівська,Львів,Йосифа Сліпого,31,49.82932985,24.04119205
Найпростіше укриття,,103,так,Львівський,Львівська,Львів,Антоновича,47,49.831816450000005,24.001769870332552
Найпростіше укриття,,926,так,Львівський,Львівська,Львів,Любінська,101Б,49.8276104,23.9839898
Найпростіше укриття,,602,так,Львівський,Львівська,Львів,Любінська,99А,49.820565900000005,23.9721238246941
Найпростіше укриття,,18,так,Львівський,Львівська,Львів,Йосифа Сліпого,3А,49.8304835,24.04288085866213
Найпростіше укриття,,15,так,Львівський,Львівська,Львів,Соколина,8,49.82499205,24.080606673930234
Найпростіше укриття,,926,так,Львівський,Львівська,Львів,Любінська,103,49.8276104,23.9839898
Найпростіше укриття,,30,так,Львівський,Кам’янка-Бузька,Дальнич,Шептицьких,43,,
Найпростіше укриття,,50,так,Львівський,Львівська,Львів,Антоновича,70,49.83110575,23.99897908891367
Найпростіше укриття,,22,так,Львівський,Львівська,Львів,Йосифа Сліпого,5,49.8303909,24.042798543054353
Найпростіше укриття,,225,так,Львівський,Львівська,Львів,Любінська,99,49.820565900000005,23.9721238246941
Найпростіше укриття,,24,так,Львівський,Львівська,Львів,Коцюбинського,25,49.831225849999996,24.026008551241333
Найпростіше укриття,,852,так,Львівський,Львівська,Львів,Любінська,104,49.821430649999996,23.969851685097986
Найпростіше укриття,,47,так,Львівський,Львівська,Львів,Тракт Глинянський,163,49.84245955,24.10211266293619
Найпростіше укриття,,49,так,Львівський,Львівська,Львів,Білоцерківська,2А,49.817434750000004,24.051700775694464
Найпростіше укриття,,50,так,Львівський,Львівська,Львів,Йосифа Сліпого,22,49.82968735,24.039796943865078
Найпростіше укриття,,120,так,Львівський,Львівська,Львів,Коновальця,124,49.824874449999996,23.99340706317639
Найпростіше укриття,,733,так,Львівський,Львівська,Львів,Любінська,98,49.823181149999996,23.974654054445626
Найпростіше укриття,,926,так,Львівський,Львівська,Львів,Любінська,105,49.83343821822284,23.990535313085733
Найпростіше укриття,,19,так,Львівський,Львівська,Львів,Патріарха Любомира Гузара,1,,
Найпростіше укриття,,162,так,Львівський,Щирецька,Щирець,Ринок,12,,
Найпростіше укриття,,28,так,Львівський,Львівська,Львів,Коцюбинського,3,49.8300923,24.02948870247028
Найпростіше укриття,,602,так,Львівський,Львівська,Львів,Любінська,97Б,49.8276104,23.9839898
Найпростіше укриття,,49,так,Львівський,Львівська,Львів,Боднарська,16,49.799617,24.019525680137047
Найпростіше укриття,,60,так,Львівський,Щирецька,Щирець,Ринок,18,,
Найпростіше укриття,,39,так,Львівський,Львівська,Львів,Йосифа Сліпого,1,49.830692299999995,24.043066636910513
Найпростіше укриття,,1280,так,Львівський,Львівська,Львів,Любінська,152,49.8201818,23.96522509149395
Найпростіше укриття,,20,так,Львівський,Львівська,Львів,Патріарха Любомира Гузара,3,,
Найпростіше укриття,,1212,так,Львівський,Львівська,Львів,Любінська,97,49.8276104,23.9839898
Найпростіше укриття,,449,так,Львівський,Львівська,Львів,Любінська,156,49.81961375,23.96295549928389
Найпростіше укриття,,50,так,Львівський,Львівська,Львів,Григорія Смольського,1А,49.8402405,24.03977623705267
Найпростіше укриття,,805,так,Львівський,Львівська,Львів,Володимира Великого,13А,49.81114474288868,23.99267345025206
Найпростіше укриття,,1000,так,Львівський,Щирецька,Щирець,Сагайдачного,47,,
Найпростіше укриття,,482,так,Львівський,Львівська,Львів,Любінська,160,49.8193177,23.963479838291143
Найпростіше укриття,,36,так,Львівський,Львівська,Львів,Коцюбинського,5,49.83017375,24.029192884040935
Найпростіше укриття,,225,так,Львівський,Львівська,Львів,Любінська,95,49.8217181,23.973261631430745
Найпростіше укриття,,49,так,Львівський,Львівська,Львів,Джорджа Вашингтона,4А/2,49.81420789303479,24.06726342197403
Найпростіше укриття,,452,так,Львівський,Львівська,Львів,Любінська,160Б,49.819578,23.964048575365585
Найпростіше укриття,,158,так,Львівський,Львівська,Львів,Володимира Великого,14А,49.8120351,24.004294020187444
Найпростіше укриття,,50,так,Львівський,Львівська,Львів,Григорія Смольського,10,49.8407205,24.040203389784946
Найпростіше укриття,,45,так,Львівський,Львівська,Львів,Любінська,94,49.82452325,23.976341990300625
Найпростіше укриття,,466,так,Львівський,Львівська,Львів,Любінська,162,49.81901845,23.962625697884732
Найпростіше укриття,,35,так,Львівський,Львівська,Львів,Коцюбинського,6,49.830297200000004,24.029835237402057
Найпростіше укриття,,898,так,Львівський,Львівська,Львів,Любінська,164,49.8189953,23.961728836921594
Найпростіше укриття,,50,так,Львівський,Львівська,Львів,Григорія Смольського,2,49.84003185,24.040171967077413
Найпростіше укриття,,600,так,Львівський,Львівська,Львів,Любінська,91В,49.8219866,23.9746384
Найпростіше укриття,,24,так,Львівський,Львівська,Львів,Патріарха Любомира Гузара,5,,
Найпростіше укриття,,50,так,Львівський,Львівська,Львів,Григорія Смольського,3,49.8404498,24.03982056947514
Найпростіше укриття,,602,так,Львівський,Львівська,Львів,Любінська,91А,49.8276104,23.9839898
Найпростіше укриття,,20,так,Львівський,Львівська,Львів,Патріарха Любомира Гузара,7,,
Найпростіше укриття,,50,так,Львівський,Львівська,Львів,Григорія Смольського,5,49.84060635,24.03983566071026
Найпростіше укриття,,49,так,Львівський,Львівська,Львів,Джорджа Вашингтона,4А/3,49.81420789303479,24.06726342197403
Найпростіше укриття,,1210,так,Львівський,Львівська,Львів,Любінська,91,49.82265485,23.974965017400745
Найпростіше укриття,,50,так,Львівський,Львівська,Львів,Григорія Смольського,6,49.840379150000004,24.040150300804406
Найпростіше укриття,,510,так,Львівський,Львівська,Львів,Володимира Великого,125А,49.810500700000006,23.98666108107618
Найпростіше укриття,,1210,так,Львівський,Львівська,Львів,Любінська,89,49.8238074,23.97747035
Найпростіше укриття,,25,так,Львівський,Львівська,Львів,Богдана Гнатевича,3,49.8558272,24.057439950000003
Найпростіше укриття,,50,так,Львівський,Львівська,Львів,Григорія Смольського,7,49.84073155,24.039673565030306
Найпростіше укриття,,29,так,Львівський,Львівська,Львів,Патріарха Любомира Гузара,17,,
Найпростіше укриття,,602,так,Львівський,Львівська,Львів,Любінська,89А,49.82293235,23.976867192166516
Найпростіше укриття,,603,так,Львівський,Львівська,Львів,Любінська,89Б,49.82264715,23.976510301740948
Найпростіше укриття,,15,так,Червоноградський,Великомостівська,Великі Мости,Шевченка,7,,
Найпростіше укриття,,50,так,Львівський,Львівська,Львів,Григорія Смольського,8,49.8405935,24.040186393994738
Найпростіше укриття,,26,так,Львівський,Львівська,Львів,Патріарха Любомира Гузара,21,,
Найпростіше укриття,,20,так,Львівський,Львівська,Львів,Генерала Дмитра Грицая,1,49.82704596617621,24.047744948375367
Найпростіше укриття,,49,так,Львівський,Львівська,Львів,Джорджа Вашингтона,4А/5,49.81420789303479,24.06726342197403
Найпростіше укриття,,35,так,Львівський,Львівська,Львів,Метрологічна,14,49.82942595,24.010056933444417
Найпростіше укриття,,49,так,Львівський,Львівська,Львів,Джорджа Вашингтона,4А/6,49.81420789303479,24.06726342197403
Найпростіше укриття,,93,так,Львівський,Щирецька,Щирець,Острівська,2,,
Найпростіше укриття,,41,так,Львівський,Львівська,Львів,Патріарха Любомира Гузара,25,,
Найпростіше укриття,,49,так,Львівський,Львівська,Львів,Джорджа Вашингтона,4А/7,49.81420789303479,24.06726342197403
Найпростіше укриття,,200,так,Львівський,Щирецька,Щирець,Острівська,2,,
Найпростіше укриття,,39,так,Львівський,Львівська,Львів,Широка,1,49.8422584,23.9796279043162
Найпростіше укриття,,35,так,Львівський,Львівська,Львів,Патріарха Любомира Гузара,27,,
Найпростіше укриття,,1343,так,Львівський,Львівська,Львів,Михайла Бойчука,7,49.812607549999996,23.99595958175157
Найпростіше укриття,,49,так,Львівський,Львівська,Львів,Джорджа Вашингтона,4А/8,49.81420789303479,24.06726342197403
Найпростіше укриття,,50,так,Львівський,Зимноводівська,Лапаївка,Геофізиків,9,,
Найпростіше укриття,,29,так,Львівський,Львівська,Львів,Патріарха Любомира Гузара,28,,
Найпростіше укриття,,44,так,Львівський,Львівська,Львів,Солодова,3А,49.8411639,24.04768189749046
Найпростіше укриття,,20,так,Львівський,Львівська,Львів,Генерала Чупринки,94,49.82779395,24.00417427167821
Найпростіше укриття,,425,так,Львівський,Львівська,Львів,Скидана,18,49.85474335,24.0365199843585
Найпростіше укриття,,49,так,Львівський,Львівська,Львів,Джорджа Вашингтона,4А/9,49.81420789303479,24.06726342197403
